Workflow Name,File Path,State,Trigger Type,Last Run ID,Last Run SHA,Last Conclusion,Last Run Date,Recommended Action
Auth Tenant Production Acceptance,.github/workflows/auth-tenant-production-acceptance.yml,active,workflow_dispatch,,,no runs,,KEEP
Backend Deploy,.github/workflows/backend-deploy.yml,active,workflow_dispatch,28065115034,635ebe38ca1c,failure,2026-06-23T23:52:21Z,KEEP
Backend Production Smoke,.github/workflows/backend-production-smoke.yml,active,workflow_dispatch,27943942508,70d847689c56,success,2026-06-22T09:49:06Z,KEEP
Backup Restore Validation,.github/workflows/backup-restore-validation.yml,active,"pull_request, workflow_dispatch",28138025114,4df957709733,success,2026-06-25T00:38:13Z,KEEP
Backup Verify,.github/workflows/backup-verify.yml,active,workflow_dispatch,28097189858,941987782dd0,failure,2026-06-24T12:05:42Z,KEEP
CI,.github/workflows/ci.yml,active,"push, pull_request",28138025066,4df957709733,success,2026-06-25T00:37:29Z,KEEP
Compile Diagnostics,.github/workflows/compile-diagnostics.yml,active,"pull_request, workflow_dispatch",28138025065,4df957709733,success,2026-06-25T00:36:39Z,KEEP
Production Control Plane Validation,.github/workflows/control-plane-validation.yml,active,"pull_request, workflow_dispatch",28095501933,cbab491a9a31,success,2026-06-24T11:33:51Z,KEEP
Cost Monitor,.github/workflows/cost-monitor.yml,active,"schedule, workflow_dispatch",28103813629,d2e259f75f70,success,2026-06-24T13:56:41Z,KEEP
Master Backlog Validation,.github/workflows/master-backlog-validation.yml,active,"pull_request, workflow_dispatch",28138025090,4df957709733,success,2026-06-25T00:36:24Z,KEEP
Metrics Collector,.github/workflows/metrics-collector.yml,active,"schedule, workflow_dispatch",28132545739,6dfd05ebe14a,failure,2026-06-24T22:04:20Z,KEEP
Performance Baseline,.github/workflows/performance-baseline.yml,active,"pull_request, workflow_dispatch",28138025073,4df957709733,success,2026-06-25T00:38:48Z,KEEP
Pilot Synthetic Monitoring,.github/workflows/pilot-synthetic-monitoring.yml,active,"workflow_dispatch, schedule",28134668995,6dfd05ebe14a,success,2026-06-24T22:53:24Z,KEEP
SANAD Production Release,.github/workflows/production-release.yml,active,workflow_dispatch,,,no runs,,KEEP
Production Smoke,.github/workflows/production-smoke.yml,active,"push, workflow_dispatch",28104685459,2ade6f8a837c,success,2026-06-24T14:10:49Z,KEEP
Render Blueprint Validation,.github/workflows/render-blueprint-validation.yml,active,"push, pull_request, workflow_dispatch",28095731928,7d5f8434f4cd,success,2026-06-24T11:38:18Z,KEEP
Render Env Recovery,.github/workflows/render-env-recovery.yml,active,workflow_dispatch,28042467805,f690eddcb9ef,failure,2026-06-23T16:56:14Z,KEEP
Render Production Preflight,.github/workflows/render-production-preflight.yml,active,workflow_dispatch,27921638587,083511210c21,success,2026-06-22T00:01:51Z,KEEP
Security Baseline,.github/workflows/security-baseline.yml,active,"pull_request, workflow_dispatch",28138025063,4df957709733,success,2026-06-25T00:37:41Z,KEEP
Security Scan (OWASP),.github/workflows/security-scan.yml,active,"schedule, push, workflow_dispatch",28122351151,8af14cddf710,cancelled,2026-06-24T19:27:15Z,KEEP
Service Decomposition Validation,.github/workflows/service-decomposition-validation.yml,active,"pull_request, workflow_dispatch",28138025103,4df957709733,success,2026-06-25T00:36:25Z,KEEP
Production Smoke Test,.github/workflows/smoke-test.yml,active,"workflow_dispatch, schedule",28120298900,6359a0cddd8b,success,2026-06-24T18:22:18Z,KEEP
.github/workflows/test-scope-check.yml,.github/workflows/test-scope-check.yml,active,unknown,27947830580,640a0bbc0759,failure,2026-06-22T10:58:57Z,KEEP
Uptime Monitor,.github/workflows/uptime-monitor.yml,active,"schedule, workflow_dispatch",28132521044,6dfd05ebe14a,failure,2026-06-24T22:03:33Z,KEEP
Web CI,.github/workflows/web-ci.yml,active,"push, pull_request, workflow_dispatch",28138025072,4df957709733,success,2026-06-25T00:36:29Z,KEEP
